movieCd,movieNm,movieNmEn,watchGradeNm,openDt,showTm,genreNm,directors
20184678,배반의 장미,Too Hot to Die,"[{'auditNo': '2018-MF01334', 'watchGradeNm': '15세이상관람가'}]",20181018,98,[{'genreNm': '코미디'}],"[{'peopleNm': '박진영', 'peopleNmEn': 'PARK Jin-young'}]"
20187521,펭귄 하이웨이,Penguin Highway,"[{'auditNo': '2018-MF01691', 'watchGradeNm': '전체관람가'}]",20181018,117,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}]","[{'peopleNm': '이시다 히로야스', 'peopleNmEn': 'Hiroyasu Ishida'}]"
20180628,액슬,A-X-L,"[{'auditNo': '2018-MF01847', 'watchGradeNm': '12세이상관람가'}]",20181018,98,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}]","[{'peopleNm': '올리버 달리', 'peopleNmEn': 'Oliver Daly'}]"
20189067,미쓰백,Miss Baek,"[{'auditNo': '2018-MF01507', 'watchGradeNm': '15세이상관람가'}]",20181011,97,[{'genreNm': '드라마'}],"[{'peopleNm': '이지원', 'peopleNmEn': 'LEE Ji-won'}]"
20180523,스타 이즈 본,A Star Is Born,"[{'auditNo': '2018-MF01588', 'watchGradeNm': '15세이상관람가'}]",20181009,135,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '브래들리 쿠퍼', 'peopleNmEn': 'Bradley Cooper'}]"
20180770,다이노 어드벤처2: 육해공 공룡 대백과,Planet Dinosaur,"[{'auditNo': '2018-MF01762', 'watchGradeNm': '전체관람가'}]",20181009,71,"[{'genreNm': '애니메이션'}, {'genreNm': '액션'}, {'genreNm': '가족'}]","[{'peopleNm': '마이크 데블린', 'peopleNmEn': 'Mike Devlin'}]"
20188661,에브리데이,EVERY DAY,"[{'auditNo': '2018-MF01331', 'watchGradeNm': '12세이상관람가'}]",20181011,97,[{'genreNm': '멜로/로맨스'}],"[{'peopleNm': '마이클 수지', 'peopleNmEn': 'Michael Sucsy'}]"
20177221,베놈,Venom,"[{'auditNo': '2018-MF01727', 'watchGradeNm': '15세이상관람가'}]",20181003,107,"[{'genreNm': '액션'}, {'genreNm': 'SF'}, {'genreNm': '스릴러'}]","[{'peopleNm': '루벤 플레셔', 'peopleNmEn': 'Ruben Fleischer'}]"
20179189,암수살인,Dark Figure of Crime,"[{'auditNo': '2018-MF01634', 'watchGradeNm': '15세이상관람가'}]",20181003,109,"[{'genreNm': '범죄'}, {'genreNm': '드라마'}]","[{'peopleNm': '김태균', 'peopleNmEn': 'KIM Tae-gyun'}]"
20189123,곰돌이 푸 다시 만나 행복해,Christopher Robin,"[{'auditNo': '2018-MF01639', 'watchGradeNm': '전체관람가'}]",20181003,103,[{'genreNm': '어드벤처'}],"[{'peopleNm': '마크 포스터', 'peopleNmEn': 'Marc Forster'}]"
